Country,Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),Region,UN Region,GDP_PC,Population (2023)
Uruguay,255892,44349,88517,Latin America and the Caribbean,Americas,28740,3423108
Brunei Darussalam,34739,5551,11080,South-eastern Asia,Asia,60100,452524
Honduras,780504,152431,269461,Latin America and the Caribbean,Americas,7228,10593798
Ghana,2555332,475743,840996,Sub-Saharan Africa,Africa,6974,34121985
Guam,13165,2143,4278,Oceania,Oceania,35600,172952
Argentina,3243563,700380,1238100,Latin America and the Caribbean,Americas,27261,45773884
Fiji,67385,13920,24607,Oceania,Oceania,15727,936375
Mongolia,250173,50443,89171,Eastern Asia,Asia,14939,3447157
New Caledonia,22254,3623,7231,Oceania,Oceania,31100,292991
Nepal,2249412,447447,790975,Southern Asia,Asia,5101,30896590
Canada,2938321,479284,956615,Northern America,Americas,60177,38781291
Kazakhstan,1404584,290148,512910,Central Asia,Asia,32688,19606633
Afghanistan,3109153,594982,1051783,Southern Asia,Asia,2456,42239854
Guatemala,1273466,274979,486095,Latin America and the Caribbean,Americas,10546,18092026
Aruba,7858,1362,2718,Latin America and the Caribbean,Americas,49627,106277
Greenland,4178,726,1450,Northern America,Americas,41800,56643
Costa Rica,365609,78946,139556,Latin America and the Caribbean,Americas,26422,5212173
Guyana,56700,12243,21643,Latin America and the Caribbean,Americas,60648,813834
Belarus,646356,147838,261341,Eastern Europe,Europe,23447,9498238
Ecuador,1258415,271729,480349,Latin America and the Caribbean,Americas,13513,18190484
Luxembourg,54951,4433,12868,Western Europe,Europe,142490,654768
Czechia,746840,136943,273327,Eastern Europe,Europe,50961,10495295
Colombia,3545499,787320,1391787,Latin America and the Caribbean,Americas,19460,52085168
Dominican Republic,777849,167960,296913,Latin America and the Caribbean,Americas,25896,11332972
Peru,2354806,508472,898853,Latin America and the Caribbean,Americas,16132,34352719
Bermuda,4606,801,1598,Northern America,Americas,95837,64069
Hong Kong,530985,95267,190147,Eastern Asia,Asia,74598,7491609
South Korea,3657764,656263,1309852,Eastern Asia,Asia,56706,51784059
Turkmenistan,449895,92936,164288,Central Asia,Asia,19974,6516100
Chile,1400946,242800,484611,Latin America and the Caribbean,Americas,29613,19629590
Syrian Arab Republic,1771842,266980,471955,Western Asia,Asia,6374,23227014
Suriname,42112,9093,16075,Latin America and the Caribbean,Americas,18427,623236
Equatorial Guinea,124670,21208,37491,Sub-Saharan Africa,Africa,18510,1714671
British Virgin Islands,2218,384,767,Latin America and the Caribbean,Americas,34200,31538
Panama,313897,54402,108582,Latin America and the Caribbean,Americas,40177,4468087
Iran,5884842,1296792,2292410,Southern Asia,Asia,19548,89172767
Bahamas,28792,4990,9960,Latin America and the Caribbean,Americas,43913,412623
French Polynesia,21978,3578,7142,Oceania,Oceania,17000,308872
Liechtenstein,2724,487,972,Western Europe,Europe,139100,39584
Sweden,812948,100364,205746,Northern Europe,Europe,65842,10612086
Romania,1352979,248086,495161,Eastern Europe,Europe,41634,19892812
Pakistan,15947645,3387131,5987614,Southern Asia,Asia,6836,240485658
Zambia,1391729,279350,493822,Sub-Saharan Africa,Africa,4041,20569737
Cayman Islands,4797,831,1660,Latin America and the Caribbean,Americas,74155,69310
Faroe Islands,3710,624,1245,Northern Europe,Europe,40000,53270
Samoa,14923,3083,5449,Oceania,Oceania,6324,225681
Iceland,25827,4343,8668,Northern Europe,Europe,69779,375318
Grenada,8112,1752,3097,Latin America and the Caribbean,Americas,20075,126183
Trinidad and Tobago,103119,17872,35671,Latin America and the Caribbean,Americas,32054,1534937
Slovakia,381273,69911,139538,Eastern Europe,Europe,41515,5795199
Germany,6263775,498244,1718433,Western Europe,Europe,66132,83294633
Finland,361937,70875,128927,Northern Europe,Europe,60897,5545475
Puerto Rico,216839,37581,75008,Latin America and the Caribbean,Americas,43845,3260314
Brazil,12578308,3300862,5835112,Latin America and the Caribbean,Americas,18686,216422446
Macao,45728,8204,16375,Eastern Asia,Asia,89558,704149
Estonia,102743,6243,22013,Northern Europe,Europe,46385,1322765
Italy,4059806,219552,1548291,Southern Europe,Europe,54216,58870762
Nauru,850,138,276,Oceania,Oceania,11342,12780
United Kingdom,5199825,283627,1114248,Northern Europe,Europe,56471,67736802
Norway,423857,74088,26685,Northern Europe,Europe,82655,5474360
Curaçao,12079,2093,4178,Latin America and the Caribbean,Americas,22832,192077
Turks and Caicos Islands,2824,489,977,Latin America and the Caribbean,Americas,22915,46062
Belize,20564,6106,10794,Latin America and the Caribbean,Americas,10939,410825
Japan,8159891,1095308,1870735,Eastern Asia,Asia,51809,123294513
India,68760163,21371087,37778821,Southern Asia,Asia,9073,1428627663
Poland,2119455,485392,968807,Eastern Europe,Europe,45343,41026067
Netherlands,854855,188068,437180,Western Europe,Europe,72973,17618299
New Zealand,291769,14923,122306,Oceania,Oceania,54046,5228100
South Africa,2329228,915865,1619024,Sub-Saharan Africa,Africa,16091,60414495
Bangladesh,10618233,2550080,544436,Southern Asia,Asia,8663,172954319
Belgium,576036,112100,227371,Western Europe,Europe,65501,11686140
Austria,349249,77289,254191,Western Europe,Europe,69502,8958960
Russia,4868564,2001062,4033088,Eastern Europe,Europe,34837,144444359
Slovenia,71107,13910,41741,Southern Europe,Europe,52641,2119675
Micronesia,10358,1780,3146,Oceania,Oceania,3931,544321
