,Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Region,UN Region,IMF_Estimate
167,Saudi Arabia,151,105,3594080,20,673502,26,876260,Western Asia,Asia,64836
168,Senegal,144,100,1622980,16,254879,28,450564,Sub-Saharan Africa,Africa,4515
169,Serbia,105,83,726196,16,137199,6,52633,Southern Europe,Europe,25432
170,Seychelles,132,93,9128,13,1252,26,2498,Sub-Saharan Africa,Africa,39662
171,Sierra Leone,147,103,802371,16,122200,28,216020,Sub-Saharan Africa,Africa,2082
172,Singapore,119,80,465355,13,74361,26,148418,South-eastern Asia,Asia,133895
173,Sint Maarten (Dutch part),113,74,3134,13,543,26,1084,Latin America and the Caribbean,Americas,41812
174,Slovakia,109,70,381273,13,69911,26,139538,Eastern Europe,Europe,41515
175,Slovenia,61,34,71107,7,13910,20,41741,Southern Europe,Europe,52641
176,Solomon Islands,135,91,60963,16,10476,28,18519,Melanesia,Oceania,2414
177,Somalia,147,103,1585898,16,241530,28,426966,Sub-Saharan Africa,Africa,1374
178,South Africa,84,40,2329228,16,915865,28,1619024,Sub-Saharan Africa,Africa,16091
179,South Sudan,147,103,1136015,16,173014,28,305846,Sub-Saharan Africa,Africa,516
180,Spain,116,77,3613954,13,598760,26,1195080,Southern Europe,Europe,49448
181,Sri Lanka,120,76,1617738,16,333508,28,589559,Southern Asia,Asia,14223
182,Palestine,145,101,501602,16,77910,28,137726,Western Asia,,6688
183,Sudan,141,97,4162396,16,669608,28,1183703,Northern Africa,Africa,4471
184,Suriname,116,72,42112,16,9093,28,16075,Latin America and the Caribbean,Americas,18427
185,Sweden,112,81,812948,10,100364,21,205746,Northern Europe,Europe,65842
186,Switzerland,125,72,615790,13,110067,40,343656,Western Europe,Europe,87963
187,Syrian Arab Republic,148,104,1771842,16,266980,28,471955,Western Asia,,6374
188,Tajikistan,141,97,906209,16,145783,28,257708,Central Asia,Asia,5293
189,Thailand,123,79,5478532,16,1088960,28,1925014,South-eastern Asia,Asia,22675
190,Timor-Leste,130,86,111643,16,20224,28,35752,South-eastern Asia,,3637
191,Togo,147,103,830017,16,126411,28,223463,Sub-Saharan Africa,Africa,2754
192,Tonga,120,76,7912,16,1634,28,2889,Polynesia,Oceania,7125
193,Trinidad and Tobago,113,74,103119,13,17872,26,35671,Latin America and the Caribbean,Americas,32054
194,Tunisia,135,91,1064407,16,182908,28,323336,Northern Africa,Africa,13270
195,Turkey,137,93,7762575,16,1304858,28,2306668,Western Asia,Asia,41412
196,Turkmenistan,120,76,449895,16,92936,28,164288,Central Asia,Asia,19974
197,Turks and Caicos Islands,113,74,2824,13,489,26,977,Latin America and the Caribbean,Americas,22915
198,Tuvalu,120,76,878,16,181,28,321,Polynesia,Oceania,5797
199,Uganda,147,103,4546237,16,692387,28,1223969,Sub-Saharan Africa,Africa,3224
200,Ukraine,120,76,3344904,16,688070,28,1216338,Eastern Europe,Europe,13901
201,United Arab Emirates,134,95,923625,13,125173,26,249836,Western Asia,Asia,88221
202,United Kingdom,98,77,5199825,4,283627,17,1114248,Northern Europe,Europe,56471
203,Tanzania,163,119,6907649,16,907219,28,1603740,Sub-Saharan Africa,,3600
204,United States of America,139,59,19359951,16,5151313,64,20934827,Northern America,,80035
205,United States Virgin Islands,113,74,7732,13,1340,26,2675,Latin America and the Caribbean,,37000
206,Uruguay,113,74,255892,13,44349,26,88517,Latin America and the Caribbean,Americas,28740
207,Uzbekistan,135,91,3001868,16,515841,28,911881,Central Asia,Asia,10308
208,Vanuatu,135,91,27296,16,4691,28,8292,Melanesia,Oceania,3001
209,Venezuela,116,72,2065461,16,445994,28,788407,Latin America and the Caribbean,,8028
210,Vietnam,120,76,7346717,16,1508689,28,2666991,South-eastern Asia,,14458
211,Yemen,148,104,3026946,16,456099,28,806270,Western Asia,Asia,2042
212,Zambia,122,78,1391729,16,279350,28,493822,Sub-Saharan Africa,Africa,4041
213,Zimbabwe,144,100,1458564,16,229059,28,404920,Sub-Saharan Africa,Africa,2627
