Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Region
Saint Kitts and Nevis,113,74,3903,13,676,26,1350,Latin America and the Caribbean
Saint Lucia,116,72,13241,16,2859,28,5054,Latin America and the Caribbean
Saint Martin (French part),113,74,2809,13,487,26,972,Latin America and the Caribbean
Saint Vincent & Grenadines,116,72,8011,16,1730,28,3058,Latin America and the Caribbean
Samoa,120,76,14923,16,3083,28,5449,Polynesia
San Marino,123,84,2857,13,434,26,867,Southern Europe
Sao Tome and Principe,144,100,21422,16,3364,28,5947,Sub-Saharan Africa
Saudi Arabia,151,105,3594080,20,673502,26,876260,Western Asia
Senegal,144,100,1622980,16,254879,28,450564,Sub-Saharan Africa
Serbia,105,83,726196,16,137199,6,52633,Southern Europe
Seychelles,132,93,9128,13,1252,26,2498,Sub-Saharan Africa
Sierra Leone,147,103,802371,16,122200,28,216020,Sub-Saharan Africa
Singapore,119,80,465355,13,74361,26,148418,South-eastern Asia
Sint Maarten (Dutch part),113,74,3134,13,543,26,1084,Latin America and the Caribbean
Slovakia,109,70,381273,13,69911,26,139538,Eastern Europe
Slovenia,61,34,71107,7,13910,20,41741,Southern Europe
Solomon Islands,135,91,60963,16,10476,28,18519,Melanesia
Somalia,147,103,1585898,16,241530,28,426966,Sub-Saharan Africa
South Africa,84,40,2329228,16,915865,28,1619024,Sub-Saharan Africa
South Sudan,147,103,1136015,16,173014,28,305846,Sub-Saharan Africa
Spain,116,77,3613954,13,598760,26,1195080,Southern Europe
Sri Lanka,120,76,1617738,16,333508,28,589559,Southern Asia
State of Palestine,145,101,501602,16,77910,28,137726,Western Asia
Sudan,141,97,4162396,16,669608,28,1183703,Northern Africa
Suriname,116,72,42112,16,9093,28,16075,Latin America and the Caribbean
Sweden,112,81,812948,10,100364,21,205746,Northern Europe
Switzerland,125,72,615790,13,110067,40,343656,Western Europe
Syrian Arab Republic,148,104,1771842,16,266980,28,471955,Western Asia
Tajikistan,141,97,906209,16,145783,28,257708,Central Asia
Thailand,123,79,5478532,16,1088960,28,1925014,South-eastern Asia
Timor-Leste,130,86,111643,16,20224,28,35752,South-eastern Asia
Togo,147,103,830017,16,126411,28,223463,Sub-Saharan Africa
Tonga,120,76,7912,16,1634,28,2889,Polynesia
Trinidad and Tobago,113,74,103119,13,17872,26,35671,Latin America and the Caribbean
Tunisia,135,91,1064407,16,182908,28,323336,Northern Africa
Turkey,137,93,7762575,16,1304858,28,2306668,Western Asia
Turkmenistan,120,76,449895,16,92936,28,164288,Central Asia
